"x"
6695.4
5851.2
5529.3
6215.1
5984.8
6062.8
5997.1
6094.1
6196.6
5171.8
3097.4
3042.1
3012.5
2876
3020.4
3287
2950.6
3042.1
3163.8
2384.7
8201
7368.4
6866.2
7377.1
7198.6
7373.7
7830
7621.6
7650.2
6636.5
4102.6
3439.8
3349.3
4090.9
3603.6
3532
2803.6
3258.1
3701.7
2713.5
2502.2
3467.2
3216.9
3200.7
2876.1
3064.1
3186.6
2939.7
3201.3
3075.5
3940.5
2662
2820.1
2592.6
3153.8
3472.2
2746
3133.8
3133.5
1751.5
1278.4
1098
988.9
1044.7
1216.3
1229.5
1165.5
1908.3
1701.9
1451.5
1406.9
1734.4
951.9
794.6
727.8
842.1
930.3
